language_name,year,quarter,count,lag_count,qoq_change
1C Enterprise,2017,3,151,178.0,-0.151685393258427
ABAP,2017,1,222,123.0,0.8048780487804879
ABAP,2017,2,117,222.0,-0.472972972972973
ABAP,2017,3,164,117.0,0.4017094017094016
ABAP,2017,4,166,164.0,0.012195121951219523
ABAP,2018,1,268,166.0,0.6144578313253013
ABAP,2018,2,251,268.0,-0.06343283582089554
ABAP,2018,3,530,251.0,1.1115537848605577
ABAP,2018,4,309,530.0,-0.4169811320754717
ABAP,2019,1,455,309.0,0.4724919093851132
ABAP,2019,2,218,455.0,-0.5208791208791208
ABAP,2019,3,260,218.0,0.19266055045871555
ABAP,2019,4,505,260.0,0.9423076923076923
ABAP,2020,1,263,505.0,-0.4792079207920792
ABAP,2020,2,360,263.0,0.36882129277566533
ABAP,2020,3,532,360.0,0.47777777777777786
API Blueprint,2016,1,277,106.0,1.6132075471698113
API Blueprint,2016,2,233,277.0,-0.15884476534296033
API Blueprint,2016,3,182,233.0,-0.2188841201716738
API Blueprint,2016,4,131,182.0,-0.2802197802197802
API Blueprint,2017,1,137,131.0,0.04580152671755733
ASP,2015,1,174,104.0,0.6730769230769231
ASP,2016,2,206,174.0,0.1839080459770115
ASP,2016,3,129,206.0,-0.37378640776699024
ASP,2017,1,237,129.0,0.8372093023255813
ASP,2017,2,198,237.0,-0.16455696202531644
ActionScript,2013,4,126,103.0,0.2233009708737863
ActionScript,2014,1,266,126.0,1.1111111111111112
ActionScript,2014,2,393,266.0,0.47744360902255645
ActionScript,2014,3,634,393.0,0.61323155216285
ActionScript,2014,4,222,634.0,-0.6498422712933754
ActionScript,2015,1,212,222.0,-0.04504504504504503
ActionScript,2015,2,302,212.0,0.42452830188679247
ActionScript,2015,3,338,302.0,0.11920529801324498
ActionScript,2015,4,352,338.0,0.041420118343195256
ActionScript,2016,1,221,352.0,-0.37215909090909094
ActionScript,2016,2,207,221.0,-0.06334841628959276
ActionScript,2016,3,108,207.0,-0.4782608695652174
ActionScript,2017,2,101,108.0,-0.06481481481481477
ApacheConf,2014,4,221,103.0,1.145631067961165
ApacheConf,2015,1,589,221.0,1.6651583710407238
ApacheConf,2015,2,390,589.0,-0.33786078098471983
ApacheConf,2015,3,1320,390.0,2.3846153846153846
ApacheConf,2015,4,1550,1320.0,0.1742424242424243
ApacheConf,2016,1,206,1550.0,-0.8670967741935484
ApacheConf,2016,2,203,206.0,-0.014563106796116498
ApacheConf,2016,3,147,203.0,-0.27586206896551724
ApacheConf,2016,4,204,147.0,0.3877551020408163
ApacheConf,2017,2,137,204.0,-0.32843137254901966
Apex,2014,2,216,242.0,-0.1074380165289256
Apex,2014,3,238,216.0,0.10185185185185186
Apex,2014,4,186,238.0,-0.2184873949579832
Apex,2015,1,251,186.0,0.34946236559139776
Apex,2015,2,269,251.0,0.0717131474103585
Apex,2015,3,198,269.0,-0.2639405204460966
Apex,2015,4,325,198.0,0.6414141414141414
Apex,2016,1,399,325.0,0.22769230769230764
Apex,2016,2,254,399.0,-0.3634085213032582
Apex,2016,3,291,254.0,0.14566929133858264
Apex,2016,4,259,291.0,-0.10996563573883167
Apex,2017,1,314,259.0,0.21235521235521237
Apex,2017,2,314,314.0,0.0
Apex,2017,3,444,314.0,0.4140127388535031
Apex,2017,4,339,444.0,-0.2364864864864865
Apex,2018,1,311,339.0,-0.08259587020648973
Apex,2018,2,638,311.0,1.0514469453376205
Apex,2018,3,577,638.0,-0.09561128526645768
Apex,2018,4,479,577.0,-0.16984402079722705
Apex,2019,1,525,479.0,0.09603340292275564
Apex,2019,2,413,525.0,-0.21333333333333337
Apex,2019,3,512,413.0,0.23970944309927367
Apex,2019,4,428,512.0,-0.1640625
Arduino,2015,1,143,102.0,0.4019607843137254
Arduino,2015,2,115,143.0,-0.19580419580419584
Arduino,2015,3,166,115.0,0.4434782608695653
Arduino,2015,4,247,166.0,0.48795180722891573
Arduino,2016,1,339,247.0,0.3724696356275303
Arduino,2016,2,393,339.0,0.15929203539823011
Arduino,2016,3,268,393.0,-0.31806615776081426
Arduino,2016,4,368,268.0,0.3731343283582089
Arduino,2017,1,459,368.0,0.2472826086956521
Arduino,2017,2,465,459.0,0.013071895424836555
Arduino,2017,3,390,465.0,-0.16129032258064513
Arduino,2017,4,282,390.0,-0.27692307692307694
Assembly,2014,1,161,159.0,0.012578616352201255
Assembly,2014,2,258,161.0,0.6024844720496894
Assembly,2014,3,214,258.0,-0.1705426356589147
Assembly,2014,4,100,214.0,-0.5327102803738317
Assembly,2015,1,324,100.0,2.24
Assembly,2015,2,254,324.0,-0.21604938271604934
Assembly,2015,3,209,254.0,-0.17716535433070868
Assembly,2015,4,857,209.0,3.1004784688995217
Assembly,2016,1,392,857.0,-0.5425904317386231
Assembly,2016,2,215,392.0,-0.451530612244898
Assembly,2016,3,183,215.0,-0.14883720930232558
Assembly,2016,4,270,183.0,0.47540983606557385
Assembly,2017,1,296,270.0,0.09629629629629632
Assembly,2017,2,374,296.0,0.2635135135135136
Assembly,2017,3,358,374.0,-0.04278074866310155
Assembly,2017,4,345,358.0,-0.03631284916201116
Assembly,2018,1,400,345.0,0.1594202898550725
Assembly,2018,2,183,400.0,-0.5425
Assembly,2018,3,213,183.0,0.16393442622950816
Assembly,2018,4,180,213.0,-0.15492957746478875
Assembly,2019,1,104,180.0,-0.4222222222222223
Assembly,2019,2,179,104.0,0.7211538461538463
Assembly,2019,3,135,179.0,-0.24581005586592175
Assembly,2019,4,304,135.0,1.251851851851852
Assembly,2020,1,199,304.0,-0.3453947368421053
Assembly,2020,2,387,199.0,0.9447236180904524
Assembly,2020,3,304,387.0,-0.21447028423772607
Assembly,2020,4,414,304.0,0.36184210526315796
Assembly,2021,1,320,414.0,-0.22705314009661837
Assembly,2021,2,282,320.0,-0.11875000000000002
Assembly,2021,3,270,282.0,-0.04255319148936165
Assembly,2021,4,210,270.0,-0.2222222222222222
AutoHotkey,2017,1,156,108.0,0.4444444444444444
AutoHotkey,2017,3,119,156.0,-0.23717948717948723
AutoHotkey,2017,4,113,119.0,-0.050420168067226934
AutoIt,2017,1,182,355.0,-0.48732394366197185
AutoIt,2017,2,103,182.0,-0.4340659340659341
Batchfile,2015,3,248,137.0,0.8102189781021898
Batchfile,2015,4,333,248.0,0.342741935483871
Batchfile,2016,1,326,333.0,-0.02102102102102099
Batchfile,2016,2,381,326.0,0.1687116564417177
Batchfile,2016,3,291,381.0,-0.2362204724409449
Batchfile,2016,4,325,291.0,0.11683848797250862
Batchfile,2017,1,270,325.0,-0.16923076923076918
Batchfile,2017,2,266,270.0,-0.014814814814814836
Batchfile,2017,3,298,266.0,0.12030075187969924
Batchfile,2017,4,262,298.0,-0.12080536912751683
Batchfile,2018,1,124,262.0,-0.5267175572519084
Batchfile,2018,2,125,124.0,0.008064516129032251
Batchfile,2018,3,174,125.0,0.3919999999999999
Batchfile,2018,4,237,174.0,0.3620689655172413
Batchfile,2019,1,255,237.0,0.07594936708860756
Batchfile,2019,2,115,255.0,-0.5490196078431373
Batchfile,2019,3,118,115.0,0.026086956521739202
Batchfile,2019,4,108,118.0,-0.0847457627118644
Batchfile,2020,2,173,108.0,0.6018518518518519
Batchfile,2020,3,107,173.0,-0.38150289017341044
Batchfile,2021,1,143,107.0,0.33644859813084116
Batchfile,2021,3,115,143.0,-0.19580419580419584
Batchfile,2021,4,158,115.0,0.37391304347826093
BitBake,2015,4,172,160.0,0.07499999999999996
BitBake,2016,1,279,172.0,0.622093023255814
BitBake,2016,2,467,279.0,0.6738351254480286
BitBake,2016,3,437,467.0,-0.06423982869379019
BitBake,2016,4,531,437.0,0.21510297482837526
BitBake,2017,1,515,531.0,-0.030131826741996215
BitBake,2017,2,654,515.0,0.26990291262135924
BitBake,2017,3,677,654.0,0.03516819571865448
BitBake,2017,4,508,677.0,-0.2496307237813885
BitBake,2018,1,662,508.0,0.3031496062992125
BitBake,2018,2,453,662.0,-0.3157099697885196
BitBake,2018,3,415,453.0,-0.08388520971302427
BitBake,2018,4,395,415.0,-0.048192771084337394
BitBake,2019,1,390,395.0,-0.012658227848101222
BitBake,2019,2,343,390.0,-0.12051282051282053
BitBake,2019,3,344,343.0,0.00291545189504383
BitBake,2019,4,473,344.0,0.375
BitBake,2020,1,502,473.0,0.06131078224101483
BitBake,2020,2,458,502.0,-0.08764940239043828
BitBake,2020,3,368,458.0,-0.19650655021834063
BitBake,2020,4,482,368.0,0.3097826086956521
BitBake,2021,1,417,482.0,-0.13485477178423233
BitBake,2021,2,343,417.0,-0.1774580335731415
BitBake,2021,3,445,343.0,0.2973760932944607
BitBake,2021,4,306,445.0,-0.31235955056179776
C,2012,1,2617,623.0,3.2006420545746392
C,2012,2,2977,2617.0,0.13756209400076425
C,2012,3,4133,2977.0,0.38831037957675507
C,2012,4,4833,4133.0,0.16936849745947247
C,2013,1,6405,4833.0,0.32526381129733095
C,2013,2,6657,6405.0,0.03934426229508192
C,2013,3,8062,6657.0,0.2110560312453056
C,2013,4,10537,8062.0,0.30699578268419736
C,2014,1,13596,10537.0,0.29031033500996495
C,2014,2,14731,13596.0,0.08348043542218297
C,2014,3,16625,14731.0,0.1285723983436291
C,2014,4,19354,16625.0,0.1641503759398497
C,2015,1,23609,19354.0,0.21985119355172067
C,2015,2,26825,23609.0,0.1362192384260239
C,2015,3,30865,26825.0,0.15060577819198517
C,2015,4,32850,30865.0,0.06431232787947505
C,2016,1,36877,32850.0,0.12258751902587517
C,2016,2,36068,36877.0,-0.02193779320443634
C,2016,3,34589,36068.0,-0.04100587778640341
C,2016,4,38772,34589.0,0.12093440111017961
C,2017,1,39191,38772.0,0.010806767770556114
C,2017,2,38042,39191.0,-0.029317955653083594
C,2017,3,37604,38042.0,-0.011513590242363758
C,2017,4,38852,37604.0,0.03318795872779501
C,2018,1,34548,38852.0,-0.11077936785751052
C,2018,2,30412,34548.0,-0.11971749450040525
C,2018,3,27791,30412.0,-0.08618308562409571
C,2018,4,29879,27791.0,0.0751322370551617
C,2019,1,35383,29879.0,0.1842096455704676
C,2019,2,32583,35383.0,-0.07913404742390417
C,2019,3,31865,32583.0,-0.022036031059141314
C,2019,4,31651,31865.0,-0.006715832418013545
