quarter_rank,language_name,year,quarter,issue_count,year_rank
19,Rust,2017,4,7879,19
20,Lua,2017,4,5975,20
21,Jupyter Notebook,2017,4,5770,22
22,CoffeeScript,2017,4,5198,21
23,Dart,2017,4,3977,24
24,Fortran,2017,4,3933,41
26,Groovy,2017,4,3899,28
26,Elixir,2017,4,3899,25
27,R,2017,4,3806,23
28,PowerShell,2017,4,3676,29
29,Perl,2017,4,3565,26
30,Clojure,2017,4,3454,30
31,Emacs Lisp,2017,4,3241,31
32,Haskell,2017,4,3002,27
33,OCaml,2017,4,2982,32
34,Vim script,2017,4,2308,33
35,DM,2017,4,2184,35
36,Erlang,2017,4,2160,34
37,Vala,2017,4,1780,36
38,Nix,2017,4,1729,40
39,Dockerfile,2017,4,1450,42
40,Makefile,2017,4,1327,38
41,F#,2017,4,1293,39
42,TeX,2017,4,1268,37
43,MATLAB,2017,4,1121,45
44,Pascal,2017,4,958,46
45,Julia,2017,4,899,43
46,PLpgSQL,2017,4,837,47
47,Visual Basic,2017,4,822,49
48,Roff,2017,4,790,56
49,Elm,2017,4,784,44
50,Crystal,2017,4,735,54
51,D,2017,4,606,48
52,TSQL,2017,4,587,52
53,SourcePawn,2017,4,565,61
54,CMake,2017,4,552,56
55,SQF,2017,4,524,62
56,FreeMarker,2017,4,502,58
57,QML,2017,4,500,50
58,Gherkin,2017,4,485,59
59,Matlab,2017,4,480,53
60,HCL,2017,4,474,51
61,Haxe,2017,4,447,60
62,Common Lisp,2017,4,404,63
63,GLSL,2017,4,402,80
64,GDScript,2017,4,401,91
65,XSLT,2017,4,400,66
66,Apex,2017,4,381,71
67,Mathematica,2017,4,380,103
68,Assembly,2017,4,370,74
69,Perl 6,2017,4,365,64
70,SCSS,2017,4,345,74
71,Smalltalk,2017,4,320,57
72,RobotFramework,2017,4,317,68
73,ColdFusion,2017,4,311,75
74,Visual Basic .NET,2017,4,309,72
76,Nim,2017,4,308,86
76,AutoHotkey,2017,4,308,76
77,PureScript,2017,4,302,65
78,Scheme,2017,4,301,85
79,PLSQL,2017,4,296,77
80,Standard ML,2017,4,293,94
81,Nunjucks,2017,4,289,93
82,PostScript,2017,4,286,87
83,Uno,2017,4,277,102
84,ABAP,2017,4,262,83
85,Starlark,2017,4,258,99
86,Puppet,2017,4,246,69
87,Smarty,2017,4,231,82
88,VHDL,2017,4,223,95
89,Jinja,2017,4,212,78
90,Raku,2017,4,197,117
91,Cuda,2017,4,196,88
92,1C Enterprise,2017,4,188,100
93,Batchfile,2017,4,184,70
94,UnrealScript,2017,4,176,81
95,F*,2017,4,175,96
96,Arduino,2017,4,164,79
97,API Blueprint,2017,4,156,109
98,ActionScript,2017,4,151,92
99,Objective-C++,2017,4,148,67
100,Tcl,2017,4,147,105
101,Racket,2017,4,144,85
102,Objective-J,2017,4,134,120
103,BitBake,2017,4,131,89
105,SaltStack,2017,4,125,114
105,AutoIt,2017,4,125,111
106,ASP,2017,4,123,107
108,Forth,2017,4,119,122
108,Verilog,2017,4,119,90
111,Ren'Py,2017,4,107,129
111,Coq,2017,4,107,129
111,Xtend,2017,4,107,98
112,Processing,2017,4,105,131
1,JavaScript,2018,1,243302,1
2,Python,2018,1,158455,2
3,Java,2018,1,131440,3
4,TypeScript,2018,1,85455,4
5,C++,2018,1,78216,5
6,PHP,2018,1,78024,6
7,Go,2018,1,70653,7
8,C#,2018,1,57600,8
9,C,2018,1,36018,9
10,Ruby,2018,1,34226,10
11,HTML,2018,1,23667,12
12,Shell,2018,1,22027,11
13,Swift,2018,1,15889,13
14,CSS,2018,1,13578,16
15,Kotlin,2018,1,11958,15
16,Objective-C,2018,1,11457,14
17,Scala,2018,1,10461,17
18,Vue,2018,1,7825,19
19,Rust,2018,1,7232,20
20,Dart,2018,1,6127,18
21,Lua,2018,1,5213,21
22,Jupyter Notebook,2018,1,4889,22
23,CoffeeScript,2018,1,3711,23
24,R,2018,1,3703,25
25,Dockerfile,2018,1,3641,32
26,Groovy,2018,1,3240,24
27,Perl,2018,1,3228,26
28,Emacs Lisp,2018,1,3036,29
29,Clojure,2018,1,3032,27
30,PowerShell,2018,1,3026,31
31,Haskell,2018,1,2948,30
32,Elixir,2018,1,2927,28
33,Vim script,2018,1,2356,34
34,DM,2018,1,2325,36
35,OCaml,2018,1,2213,33
36,Nix,2018,1,2040,35
37,Erlang,2018,1,1716,37
38,Vala,2018,1,1392,38
39,Makefile,2018,1,1260,39
40,F#,2018,1,1122,40
41,Pascal,2018,1,1022,45
42,PLpgSQL,2018,1,984,41
43,MATLAB,2018,1,983,43
44,TeX,2018,1,879,44
45,QML,2018,1,815,56
46,Julia,2018,1,808,42
47,D,2018,1,690,52
48,Elm,2018,1,671,54
49,Roff,2018,1,670,47
50,FreeMarker,2018,1,666,53
51,Smalltalk,2018,1,596,51
52,TSQL,2018,1,575,49
53,CMake,2018,1,572,55
54,Fortran,2018,1,515,48
55,Jsonnet,2018,1,474,46
56,Common Lisp,2018,1,468,63
57,Perl 6,2018,1,455,50
58,Visual Basic,2018,1,431,60
59,Crystal,2018,1,420,61
60,Assembly,2018,1,416,77
61,Raku,2018,1,393,57
62,ColdFusion,2018,1,386,62
63,Haxe,2018,1,382,58
64,GLSL,2018,1,368,75
65,Puppet,2018,1,366,78
66,Apex,2018,1,362,73
67,Matlab,2018,1,358,74
68,HCL,2018,1,355,68
69,SCSS,2018,1,353,67
70,SourcePawn,2018,1,334,71
71,XSLT,2018,1,328,66
72,RobotFramework,2018,1,325,79
73,PureScript,2018,1,318,76
74,Starlark,2018,1,314,59
75,Gherkin,2018,1,307,89
76,BitBake,2018,1,286,81
77,Standard ML,2018,1,283,88
78,PLSQL,2018,1,272,70
80,Jinja,2018,1,246,69
80,ABAP,2018,1,246,66
81,ActionScript,2018,1,242,95
82,AutoHotkey,2018,1,238,82
83,Nunjucks,2018,1,235,64
84,Scheme,2018,1,232,84
85,Uno,2018,1,208,98
86,SQF,2018,1,205,90
87,Batchfile,2018,1,190,85
88,Smarty,2018,1,188,92
89,Nim,2018,1,186,72
90,Objective-C++,2018,1,184,99
91,Cuda,2018,1,183,87
92,PostScript,2018,1,172,80
93,UnrealScript,2018,1,155,100
95,Awk,2018,1,148,101
95,API Blueprint,2018,1,148,86
96,GDScript,2018,1,139,102
98,Rich Text Format,2018,1,123,94
98,Tcl,2018,1,123,105
99,Visual Basic .NET,2018,1,120,83
100,Factor,2018,1,106,107
101,YAML,2018,1,105,108
103,Objective-J,2018,1,101,110
103,VBA,2018,1,101,110
104,Coq,2018,1,100,91
1,JavaScript,2018,2,179708,1
2,Python,2018,2,129638,2
3,Java,2018,2,120641,3
4,TypeScript,2018,2,72247,4
5,C++,2018,2,65900,5
6,PHP,2018,2,59258,6
7,Go,2018,2,57097,7
8,C#,2018,2,46690,8
9,C,2018,2,30556,9
10,Ruby,2018,2,26941,10
11,Shell,2018,2,17704,11
12,HTML,2018,2,17669,12
13,Swift,2018,2,12920,13
14,Objective-C,2018,2,10614,14
15,Kotlin,2018,2,9484,15
16,CSS,2018,2,8906,16
17,Dart,2018,2,7346,18
18,Scala,2018,2,7147,17
19,Vue,2018,2,6879,19
20,Rust,2018,2,5634,20
21,Lua,2018,2,4473,21
22,Jupyter Notebook,2018,2,4057,22
23,CoffeeScript,2018,2,3274,23
24,R,2018,2,2926,25
25,Groovy,2018,2,2888,24
26,Perl,2018,2,2814,26
27,Clojure,2018,2,2680,27
28,PowerShell,2018,2,2551,31
29,Haskell,2018,2,2394,30
30,Elixir,2018,2,2371,28
31,Emacs Lisp,2018,2,2235,29
32,OCaml,2018,2,2165,33
33,Nix,2018,2,2015,35
34,Vim script,2018,2,1877,34
35,Dockerfile,2018,2,1576,32
36,Erlang,2018,2,1476,37
37,DM,2018,2,1266,36
38,Makefile,2018,2,959,39
39,Vala,2018,2,907,38
40,F#,2018,2,830,40
41,PLpgSQL,2018,2,804,41
42,MATLAB,2018,2,750,43
43,TeX,2018,2,733,44
44,Pascal,2018,2,707,45
45,Perl 6,2018,2,692,50
46,Julia,2018,2,640,42
47,Jsonnet,2018,2,610,46
48,Roff,2018,2,576,47
49,Fortran,2018,2,510,48
50,TSQL,2018,2,480,49
51,D,2018,2,457,52
52,SCSS,2018,2,395,67
53,HCL,2018,2,387,68
54,FreeMarker,2018,2,379,53
55,Smalltalk,2018,2,373,51
56,Elm,2018,2,367,54
57,Crystal,2018,2,364,61
58,QML,2018,2,355,56
59,API Blueprint,2018,2,348,86
60,XSLT,2018,2,345,66
61,Raku,2018,2,344,57
62,Jinja,2018,2,317,69
63,PureScript,2018,2,315,76
64,Haxe,2018,2,312,58
66,Nunjucks,2018,2,309,64
66,PostScript,2018,2,309,80
67,CMake,2018,2,308,55
68,Starlark,2018,2,305,59
69,ABAP,2018,2,292,66
70,Nim,2018,2,271,72
71,PLSQL,2018,2,259,70
72,Matlab,2018,2,256,74
74,Common Lisp,2018,2,249,63
74,ColdFusion,2018,2,249,62
75,Apex,2018,2,244,73
77,AutoHotkey,2018,2,241,82
77,Visual Basic .NET,2018,2,241,83
78,GLSL,2018,2,239,75
79,Scheme,2018,2,238,84
80,Visual Basic,2018,2,222,60
81,SQF,2018,2,221,90
82,BitBake,2018,2,214,81
83,RobotFramework,2018,2,212,79
84,SourcePawn,2018,2,183,71
85,Assembly,2018,2,172,77
86,Standard ML,2018,2,162,88
87,Puppet,2018,2,150,78
88,Coq,2018,2,142,91
89,Smarty,2018,2,133,92
90,Gherkin,2018,2,121,89
91,Racket,2018,2,120,96
92,Cuda,2018,2,112,87
93,Meson,2018,2,108,106
1,JavaScript,2018,3,164650,1
2,Python,2018,3,122245,2
3,Java,2018,3,107205,3
4,C++,2018,3,70464,5
5,TypeScript,2018,3,70244,4
6,Go,2018,3,58367,7
7,PHP,2018,3,54535,6
8,C#,2018,3,42817,8
9,C,2018,3,29219,9
10,Ruby,2018,3,24473,10
11,Shell,2018,3,17374,11
12,HTML,2018,3,15587,12
13,Swift,2018,3,11499,13
14,Objective-C,2018,3,9369,14
15,Kotlin,2018,3,9052,15
16,CSS,2018,3,8037,16
17,Dart,2018,3,7443,18
18,Scala,2018,3,6641,17
19,Rust,2018,3,6175,20
20,Vue,2018,3,5717,19
21,Lua,2018,3,4608,21
22,Jupyter Notebook,2018,3,4004,22
23,CoffeeScript,2018,3,3085,23
24,Groovy,2018,3,2973,24
25,Perl,2018,3,2479,26
26,Clojure,2018,3,2427,27
27,R,2018,3,2412,25
28,Elixir,2018,3,2390,28
29,Emacs Lisp,2018,3,2277,29
30,Haskell,2018,3,2071,30
31,PowerShell,2018,3,2041,31
32,OCaml,2018,3,1809,33
33,Vim script,2018,3,1732,34
35,Dockerfile,2018,3,1363,32
35,Nix,2018,3,1363,35
36,Erlang,2018,3,1336,37
37,DM,2018,3,1188,36
38,Makefile,2018,3,974,39
39,Julia,2018,3,952,42
40,Vala,2018,3,909,38
41,PLpgSQL,2018,3,805,41
42,MATLAB,2018,3,736,43
43,F#,2018,3,674,40
44,Jsonnet,2018,3,649,46
45,TeX,2018,3,569,44
46,TSQL,2018,3,505,49
47,Roff,2018,3,498,47
48,Smalltalk,2018,3,466,51
49,Fortran,2018,3,443,48
50,Perl 6,2018,3,425,50
51,Raku,2018,3,423,57
52,Pascal,2018,3,422,45
53,D,2018,3,407,52
54,FreeMarker,2018,3,392,53
55,ABAP,2018,3,389,66
56,Elm,2018,3,383,54
57,Visual Basic,2018,3,353,60
58,Nunjucks,2018,3,348,64
59,Starlark,2018,3,342,59
60,CMake,2018,3,341,55
61,Haxe,2018,3,338,58
62,Common Lisp,2018,3,327,63
63,Nim,2018,3,305,72
65,Crystal,2018,3,302,61
65,ColdFusion,2018,3,302,62
66,PLSQL,2018,3,290,70
67,HCL,2018,3,272,68
68,XSLT,2018,3,265,66
69,SourcePawn,2018,3,248,71
70,SCSS,2018,3,247,67
71,Batchfile,2018,3,246,85
72,Puppet,2018,3,236,78
73,Visual Basic .NET,2018,3,226,83
74,PostScript,2018,3,220,80
75,Cuda,2018,3,205,87
78,PureScript,2018,3,199,76
78,QML,2018,3,199,56
78,Matlab,2018,3,199,74
79,Jinja,2018,3,195,69
80,BitBake,2018,3,192,81
81,RobotFramework,2018,3,190,79
82,Assembly,2018,3,171,77
83,AutoHotkey,2018,3,162,82
84,ASP,2018,3,157,93
85,Apex,2018,3,156,73
86,GLSL,2018,3,132,75
87,F*,2018,3,129,103
88,Scheme,2018,3,128,84
89,Twig,2018,3,123,105
90,Rich Text Format,2018,3,120,94
91,Racket,2018,3,117,96
93,API Blueprint,2018,3,109,86
93,1C Enterprise,2018,3,109,97
94,Gherkin,2018,3,107,89
1,JavaScript,2018,4,145448,1
2,Python,2018,4,109962,2
3,Java,2018,4,84452,3
4,TypeScript,2018,4,64603,4
5,Go,2018,4,53862,7
6,C++,2018,4,53595,5
7,PHP,2018,4,49835,6
8,C#,2018,4,41975,8
9,C,2018,4,26416,9
10,Ruby,2018,4,20729,10
11,Shell,2018,4,14868,11
12,HTML,2018,4,14819,12
13,Swift,2018,4,10555,13
14,Kotlin,2018,4,8676,15
15,Objective-C,2018,4,7738,14
16,Dart,2018,4,6971,18
17,CSS,2018,4,6970,16
18,Scala,2018,4,4973,17
19,Vue,2018,4,4835,19
20,Rust,2018,4,4335,20
21,Jupyter Notebook,2018,4,3767,22
22,Lua,2018,4,3494,21
23,Perl,2018,4,2512,26
24,Groovy,2018,4,2506,24
25,Clojure,2018,4,2374,27
26,R,2018,4,2221,25
27,Emacs Lisp,2018,4,2165,29
28,Elixir,2018,4,2153,28
29,Haskell,2018,4,2133,30
30,CoffeeScript,2018,4,2042,23
31,PowerShell,2018,4,1924,31
32,Nix,2018,4,1588,35
33,OCaml,2018,4,1463,33
34,Vim script,2018,4,1434,34
35,Dockerfile,2018,4,1204,32
36,Erlang,2018,4,1140,37
37,Vala,2018,4,1080,38
38,DM,2018,4,1067,36
39,Makefile,2018,4,877,39
40,Julia,2018,4,766,42
41,F#,2018,4,752,40
42,PLpgSQL,2018,4,698,41
43,Jsonnet,2018,4,581,46
44,MATLAB,2018,4,566,43
45,TeX,2018,4,521,44
46,Fortran,2018,4,493,48
47,Starlark,2018,4,426,59
48,Smalltalk,2018,4,414,51
49,TSQL,2018,4,391,49
50,Pascal,2018,4,383,45
51,CMake,2018,4,364,55
52,Haxe,2018,4,362,58
53,ColdFusion,2018,4,338,62
55,Perl 6,2018,4,337,50
55,Nunjucks,2018,4,337,64
56,Jinja,2018,4,331,69
57,Roff,2018,4,313,47
58,Raku,2018,4,303,57
59,Visual Basic,2018,4,289,60
60,ABAP,2018,4,260,66
61,XSLT,2018,4,249,66
62,SourcePawn,2018,4,246,71
63,Nim,2018,4,237,72
64,GLSL,2018,4,234,75
66,FreeMarker,2018,4,231,53
66,Elm,2018,4,231,54
67,D,2018,4,230,52
68,Apex,2018,4,216,73
69,Coq,2018,4,208,91
70,PLSQL,2018,4,201,70
71,Batchfile,2018,4,198,85
72,Common Lisp,2018,4,196,63
73,Crystal,2018,4,195,61
74,QML,2018,4,193,56
75,SCSS,2018,4,171,67
76,AutoHotkey,2018,4,170,82
77,Matlab,2018,4,163,74
78,HCL,2018,4,146,68
79,Visual Basic .NET,2018,4,141,83
81,Assembly,2018,4,136,77
81,PureScript,2018,4,136,76
82,PostScript,2018,4,130,80
83,BitBake,2018,4,128,81
84,Scheme,2018,4,123,84
85,Puppet,2018,4,122,78
86,Standard ML,2018,4,120,88
87,RobotFramework,2018,4,116,79
88,ASP,2018,4,114,93
89,SQF,2018,4,108,90
90,Cuda,2018,4,102,87
91,1C Enterprise,2018,4,100,97
1,JavaScript,2019,1,149656,1
2,Python,2019,1,127508,2
3,Java,2019,1,87987,3
4,TypeScript,2019,1,66750,4
5,Go,2019,1,61657,5
6,C++,2019,1,58115,6
7,PHP,2019,1,54344,7
8,C#,2019,1,45382,8
9,C,2019,1,30089,9
10,Ruby,2019,1,23416,10
11,Shell,2019,1,15932,11
12,HTML,2019,1,14470,12
13,Kotlin,2019,1,9572,15
14,Dart,2019,1,9203,13
15,Swift,2019,1,8877,14
16,Objective-C,2019,1,7670,16
17,CSS,2019,1,7448,17
18,Scala,2019,1,5446,18
19,Vue,2019,1,4965,20
20,Rust,2019,1,4876,19
21,Jupyter Notebook,2019,1,4499,21
22,Lua,2019,1,3875,22
23,R,2019,1,2748,25
24,Groovy,2019,1,2724,24
25,Perl,2019,1,2661,23
26,Elixir,2019,1,2444,27
27,Emacs Lisp,2019,1,2324,26
28,Clojure,2019,1,2035,32
29,Haskell,2019,1,2012,28
30,PowerShell,2019,1,1936,30
31,OCaml,2019,1,1892,31
32,Nix,2019,1,1793,29
33,CoffeeScript,2019,1,1698,33
34,Vim script,2019,1,1505,34
35,Dockerfile,2019,1,1293,36
36,Julia,2019,1,1033,39
37,Makefile,2019,1,844,40
38,Erlang,2019,1,797,38
39,MATLAB,2019,1,782,44
41,Jsonnet,2019,1,773,37
41,Vala,2019,1,773,42
42,DM,2019,1,762,35
43,F#,2019,1,719,41
44,Smalltalk,2019,1,653,45
45,PLpgSQL,2019,1,623,46
46,TeX,2019,1,551,47
47,Pascal,2019,1,494,52
48,Starlark,2019,1,478,43
49,Roff,2019,1,447,57
50,Nunjucks,2019,1,431,49
51,TSQL,2019,1,429,53
52,Jinja,2019,1,418,48
53,Fortran,2019,1,415,51
54,Haxe,2019,1,382,56
55,ColdFusion,2019,1,381,55
56,RobotFramework,2019,1,376,62
57,FreeMarker,2019,1,353,92
58,Perl 6,2019,1,349,59
59,ABAP,2019,1,340,63
60,CMake,2019,1,334,54
61,SourcePawn,2019,1,322,66
62,SCSS,2019,1,314,58
63,Coq,2019,1,312,86
64,Visual Basic,2019,1,302,75
65,PLSQL,2019,1,300,60
66,Raku,2019,1,283,61
67,XSLT,2019,1,276,65
68,AutoHotkey,2019,1,260,74
69,QML,2019,1,259,71
70,Common Lisp,2019,1,252,64
71,Assembly,2019,1,249,69
72,HCL,2019,1,235,50
73,D,2019,1,225,68
74,GLSL,2019,1,219,67
76,Visual Basic .NET,2019,1,198,76
76,Apex,2019,1,198,72
77,Nim,2019,1,190,70
79,PostScript,2019,1,169,78
79,ASP,2019,1,169,95
80,Cuda,2019,1,168,77
81,Elm,2019,1,164,79
82,Crystal,2019,1,160,80
83,Scheme,2019,1,151,81
85,Puppet,2019,1,148,90
85,BitBake,2019,1,148,87
86,SWIG,2019,1,129,93
87,Batchfile,2019,1,120,85
88,Standard ML,2019,1,115,88
90,Gherkin,2019,1,112,99
90,Rich Text Format,2019,1,112,82
91,PureScript,2019,1,111,89
92,UnrealScript,2019,1,106,94
1,JavaScript,2019,2,142693,1
2,Python,2019,2,116635,2
3,Java,2019,2,88263,3
4,TypeScript,2019,2,62411,4
5,Go,2019,2,61182,5
6,C++,2019,2,57253,6
7,PHP,2019,2,50655,7
8,C#,2019,2,43028,8
9,C,2019,2,27639,9
10,Ruby,2019,2,19395,10
11,Shell,2019,2,15360,11
12,HTML,2019,2,12942,12
13,Dart,2019,2,10153,13
14,Swift,2019,2,10030,14
15,Kotlin,2019,2,8676,15
16,Objective-C,2019,2,7975,16
17,CSS,2019,2,6106,17
18,Scala,2019,2,5782,18
19,Vue,2019,2,5424,20
20,Rust,2019,2,5240,19
21,Jupyter Notebook,2019,2,4606,21
22,Lua,2019,2,3719,22
23,Perl,2019,2,3015,23
24,Groovy,2019,2,2558,24
25,Elixir,2019,2,2501,27
26,R,2019,2,2429,25
27,Emacs Lisp,2019,2,2091,26
28,Haskell,2019,2,1881,28
29,PowerShell,2019,2,1818,30
30,OCaml,2019,2,1779,31
31,Vim script,2019,2,1595,34
32,Nix,2019,2,1505,29
33,CoffeeScript,2019,2,1483,33
34,Clojure,2019,2,1444,32
35,DM,2019,2,1175,35
36,Jsonnet,2019,2,1151,37
37,Dockerfile,2019,2,1142,36
38,Erlang,2019,2,932,38
39,F#,2019,2,828,41
40,Makefile,2019,2,805,40
41,Jinja,2019,2,753,48
42,Vala,2019,2,680,42
43,Smalltalk,2019,2,646,45
44,MATLAB,2019,2,639,44
45,PLpgSQL,2019,2,618,46
46,Julia,2019,2,608,39
47,TeX,2019,2,530,47
48,Starlark,2019,2,494,43
49,TSQL,2019,2,454,53
50,Fortran,2019,2,424,51
51,Perl 6,2019,2,374,59
52,Pascal,2019,2,371,52
53,CMake,2019,2,365,54
54,Haxe,2019,2,338,56
55,RobotFramework,2019,2,325,62
56,PLSQL,2019,2,315,60
57,SCSS,2019,2,311,58
58,HCL,2019,2,309,50
59,ColdFusion,2019,2,284,55
60,Nunjucks,2019,2,277,49
61,Raku,2019,2,272,61
62,Rich Text Format,2019,2,241,82
63,Common Lisp,2019,2,233,64
64,GLSL,2019,2,229,67
65,SourcePawn,2019,2,213,66
66,ABAP,2019,2,207,63
68,Roff,2019,2,203,57
68,Assembly,2019,2,203,69
69,Elm,2019,2,191,79
70,PostScript,2019,2,185,78
71,YAML,2019,2,178,83
72,D,2019,2,176,68
73,XSLT,2019,2,170,65
75,Coq,2019,2,163,86
75,Apex,2019,2,163,72
76,Cuda,2019,2,159,77
77,Nim,2019,2,157,70
78,Visual Basic .NET,2019,2,151,76
79,Matlab,2019,2,146,96
80,Crystal,2019,2,142,80
81,QML,2019,2,140,71
82,PureScript,2019,2,139,89
83,Scheme,2019,2,137,81
84,Puppet,2019,2,134,90
85,Standard ML,2019,2,129,88
87,xBase,2019,2,128,84
87,AutoHotkey,2019,2,128,74
89,Visual Basic,2019,2,121,75
89,Tcl,2019,2,121,97
90,Batchfile,2019,2,118,85
91,Smarty,2019,2,115,98
92,SaltStack,2019,2,104,100
93,UnrealScript,2019,2,100,94
1,JavaScript,2019,3,126962,1
2,Python,2019,3,108596,2
3,Java,2019,3,84650,3
4,TypeScript,2019,3,63144,4
5,Go,2019,3,62669,5
6,C++,2019,3,58385,6
7,PHP,2019,3,44764,7
8,C#,2019,3,41312,8
9,C,2019,3,27777,9
10,Ruby,2019,3,18069,10
11,HTML,2019,3,14474,12
12,Shell,2019,3,12842,11
13,Dart,2019,3,11877,13
14,Swift,2019,3,8128,14
15,Kotlin,2019,3,8067,15
16,Objective-C,2019,3,7793,16
17,CSS,2019,3,5656,17
18,Scala,2019,3,5404,18
19,Rust,2019,3,4745,19
20,Vue,2019,3,4735,20
21,Lua,2019,3,3840,22
22,Jupyter Notebook,2019,3,3578,21
23,Perl,2019,3,2520,23
24,Groovy,2019,3,2499,24
25,R,2019,3,2291,25
26,Emacs Lisp,2019,3,2093,26
27,DM,2019,3,1703,35
28,Haskell,2019,3,1698,28
29,Nix,2019,3,1626,29
30,OCaml,2019,3,1597,31
31,PowerShell,2019,3,1537,30
32,Elixir,2019,3,1439,27
33,CoffeeScript,2019,3,1352,33
34,Clojure,2019,3,1344,32
35,Vim script,2019,3,1188,34
36,Dockerfile,2019,3,1159,36
37,Jsonnet,2019,3,1011,37
39,Erlang,2019,3,986,38
39,Julia,2019,3,986,39
40,Makefile,2019,3,788,40
41,Starlark,2019,3,724,43
42,Smalltalk,2019,3,689,45
43,Vala,2019,3,658,42
44,F#,2019,3,626,41
45,MATLAB,2019,3,547,44
46,TeX,2019,3,484,47
47,PLpgSQL,2019,3,471,46
48,Nunjucks,2019,3,461,49
49,HCL,2019,3,428,50
50,Fortran,2019,3,427,51
51,Jinja,2019,3,402,48
52,TSQL,2019,3,374,53
54,Roff,2019,3,365,57
54,ActionScript,2019,3,365,91
55,CMake,2019,3,364,54
56,ColdFusion,2019,3,330,55
57,Pascal,2019,3,312,52
58,RobotFramework,2019,3,288,62
59,Perl 6,2019,3,271,59
61,SystemVerilog,2019,3,268,73
61,Haxe,2019,3,268,56
62,PostScript,2019,3,234,78
63,xBase,2019,3,231,84
64,PLSQL,2019,3,206,60
65,SCSS,2019,3,205,58
66,Rich Text Format,2019,3,204,82
67,Common Lisp,2019,3,201,64
68,XSLT,2019,3,200,65
69,Raku,2019,3,199,61
70,Nim,2019,3,188,70
71,ABAP,2019,3,187,63
72,GLSL,2019,3,186,67
73,Cuda,2019,3,178,77
74,QML,2019,3,176,71
76,Visual Basic .NET,2019,3,167,76
76,D,2019,3,167,68
77,Assembly,2019,3,160,69
78,Scheme,2019,3,156,81
79,Apex,2019,3,153,72
80,PureScript,2019,3,145,89
81,BitBake,2019,3,133,87
83,YAML,2019,3,123,83
83,Batchfile,2019,3,123,85
84,SourcePawn,2019,3,119,66
85,Elm,2019,3,118,79
86,Crystal,2019,3,113,80
87,Visual Basic,2019,3,108,75
88,AutoHotkey,2019,3,104,74
89,Puppet,2019,3,100,90
1,JavaScript,2019,4,116636,1
2,Python,2019,4,107953,2
3,Java,2019,4,80650,3
4,TypeScript,2019,4,63034,4
5,Go,2019,4,58892,5
6,C++,2019,4,56278,6
7,PHP,2019,4,44983,7
8,C#,2019,4,42645,8
9,C,2019,4,27855,9
10,Ruby,2019,4,17556,10
11,Dart,2019,4,16437,13
12,Shell,2019,4,12789,11
13,HTML,2019,4,11182,12
14,Swift,2019,4,7907,14
15,Kotlin,2019,4,7486,15
16,Objective-C,2019,4,7088,16
17,Rust,2019,4,5406,19
18,Scala,2019,4,4721,18
19,CSS,2019,4,4491,17
20,Jupyter Notebook,2019,4,4056,21
21,Vue,2019,4,3539,20
22,Lua,2019,4,3012,22
23,Perl,2019,4,2654,23
24,Emacs Lisp,2019,4,2361,26
25,Groovy,2019,4,2288,24
26,Nix,2019,4,1980,29
27,R,2019,4,1952,25
28,Haskell,2019,4,1604,28
29,DM,2019,4,1542,35
30,PowerShell,2019,4,1497,30
31,OCaml,2019,4,1412,31
32,Clojure,2019,4,1399,32
33,Dockerfile,2019,4,1277,36
34,Vim script,2019,4,1187,34
35,Elixir,2019,4,1106,27
36,CoffeeScript,2019,4,1089,33
37,Starlark,2019,4,920,43
38,Julia,2019,4,855,39
39,Makefile,2019,4,850,40
40,Erlang,2019,4,778,38
41,HCL,2019,4,733,50
42,Jsonnet,2019,4,718,37
43,F#,2019,4,596,41
44,Vala,2019,4,591,42
45,Nunjucks,2019,4,573,49
46,PLpgSQL,2019,4,530,46
47,MATLAB,2019,4,479,44
48,Smalltalk,2019,4,450,45
49,SystemVerilog,2019,4,422,73
50,Pascal,2019,4,376,52
51,TeX,2019,4,370,47
52,Jinja,2019,4,350,48
53,CMake,2019,4,324,54
54,ColdFusion,2019,4,320,55
55,Fortran,2019,4,309,51
56,TSQL,2019,4,280,53
57,Haxe,2019,4,276,56
58,XSLT,2019,4,242,65
59,Raku,2019,4,237,61
60,YAML,2019,4,235,83
62,Common Lisp,2019,4,228,64
62,ABAP,2019,4,228,63
63,SCSS,2019,4,224,58
64,Standard ML,2019,4,202,88
65,Nim,2019,4,198,70
67,Apex,2019,4,194,72
67,AutoHotkey,2019,4,194,74
68,D,2019,4,193,68
69,PLSQL,2019,4,172,60
71,BitBake,2019,4,171,87
71,xBase,2019,4,171,84
72,QML,2019,4,153,71
74,SourcePawn,2019,4,152,66
74,SWIG,2019,4,152,93
75,Crystal,2019,4,150,80
76,GLSL,2019,4,148,67
77,Assembly,2019,4,144,69
78,Visual Basic,2019,4,140,75
79,Roff,2019,4,139,57
80,Batchfile,2019,4,137,85
81,Visual Basic .NET,2019,4,130,76
82,Scheme,2019,4,116,81
83,Elm,2019,4,114,79
84,Cuda,2019,4,110,77
1,JavaScript,2020,1,113844,2
2,Python,2020,1,113350,1
3,Java,2020,1,79307,3
4,TypeScript,2020,1,63649,4
5,Go,2020,1,60657,5
6,C++,2020,1,57767,6
7,PHP,2020,1,46647,7
8,C#,2020,1,38893,8
9,C,2020,1,28949,9
10,Ruby,2020,1,17439,10
11,Dart,2020,1,15115,11
12,Shell,2020,1,12559,12
13,HTML,2020,1,11894,13
